Symbol,Name,Date,Price,Close,MA5,MA20,Price/MA20,Price/MA5,RSI,PBR,ROE,PER,EPS,BPS,DIV,DPS,Momentum,Score
001060,JW중외제약,2026-09-03,27150.0,27150.0,27900.0,27255.0,0.996147495872317,0.9731182795698925,52.05,1.78,16.5729234793983,10.71,2534.0,15290.0,2.39,650.0,0.9933371207413851,0.5736501753451786
103590,일진전기,2026-09-03,67600.0,67600.0,70000.0,68295.0,0.9898235595578008,0.9657142857142857,49.84,5.48,17.648011662752086,31.02,2179.0,12347.0,0.74,500.0,0.9894146611862403,0.5692349294998986
012280,영화금속,2026-09-03,4005.0,4005.0,4078.0,4025.0,0.9950310559006211,0.9820990681706719,45.28,0.49,14.87553126897389,3.27,1225.0,8235.0,4.37,175.0,0.9945265216477448,0.5666325922542698
031820,아이티센씨티에스,2026-09-03,5720.0,5720.0,5898.0,5975.5,0.9572420717931553,0.9698202780603594,46.07,0.3,23.044397463002113,1.31,4360.0,18920.0,0.0,0.0,0.9767043164471267,0.5665823452365295
015360,INVENI,2026-09-03,14060.0,14060.0,14094.0,14161.5,0.9928326801539384,0.9975876259401164,47.91,0.48,13.766421349473829,3.51,4003.0,29078.0,7.68,1080.0,0.9966459978710288,0.5657998706404492
069730,DSR제강,2026-09-03,5630.0,5630.0,5592.0,5686.0,0.9901512486809708,1.0067954220314734,51.29,0.43,13.123419903470468,3.29,1713.0,13053.0,7.64,430.0,0.9974645201903931,0.5641701980508449
030000,제일기획,2026-09-03,18940.0,18940.0,19106.0,19010.5,0.9962915231056522,0.991311629854496,48.92,1.22,13.198067632850242,9.24,2049.0,15525.0,6.49,1230.0,0.9967963937618336,0.5627571506130069
018500,동원모빌리티,2026-09-03,1430.0,1430.0,1445.4,1455.7,0.9823452634471388,0.989345509893455,47.2,0.5,15.928270042194093,3.16,453.0,2844.0,3.5,50.0,0.9907770524497779,0.5625647981952157
019180,티에이치엔,2026-09-03,5190.0,5190.0,5290.0,5718.5,0.9075806592637929,0.9810964083175804,38.01,0.42,30.56156372666827,1.36,3815.0,12483.0,2.31,120.0,0.9586849500006033,0.562009842191539
033530,SJG세종,2026-09-03,6890.0,6890.0,6960.0,6923.5,0.9951614068029176,0.9899425287356322,53.82,0.36,13.157622203811101,2.71,2541.0,19312.0,2.9,200.0,0.9960742772616002,0.560491856671196
